2020-06-03 23:16:45,497[line:2] - INFO: --------------------------------------------------------------
2020-06-03 23:16:45,498[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 16, experimentTimes: 0
2020-06-03 23:16:45,505[line:15] - INFO: DataLoader have been created!
2020-06-03 23:16:49,217[line:18] - INFO: Network have been established.
2020-06-03 23:16:49,221[line:24] - INFO: Train begining.
2020-06-03 23:26:57,479[line:3] - INFO: 120: (eval) acc:61.81818181818181%, loss:0.08058387004967892
2020-06-03 23:27:03,688[line:3] - INFO: 125: (train) acc:62.5%, loss:1.0407549142837524
2020-06-03 23:27:09,694[line:3] - INFO: 130: (train) acc:62.5%, loss:0.993705153465271
2020-06-03 23:27:15,745[line:3] - INFO: 135: (train) acc:68.75%, loss:1.0351042747497559
2020-06-03 23:27:21,769[line:3] - INFO: 140: (train) acc:68.75%, loss:0.9168815612792969
2020-06-03 23:27:28,017[line:3] - INFO: 145: (train) acc:56.25%, loss:1.2054659128189087
2020-06-03 23:27:34,075[line:3] - INFO: 150: (train) acc:43.75%, loss:1.1485859155654907
2020-06-03 23:27:34,078[line:45] - INFO: Evaluating!
2020-06-03 23:28:08,481[line:16] - INFO: Evaluationg, 16
2020-06-03 23:28:08,750[line:16] - INFO: Evaluationg, 32
2020-06-03 23:28:09,022[line:16] - INFO: Evaluationg, 48
2020-06-03 23:28:09,289[line:16] - INFO: Evaluationg, 64
2020-06-03 23:28:09,552[line:16] - INFO: Evaluationg, 80
2020-06-03 23:28:09,817[line:16] - INFO: Evaluationg, 96
2020-06-03 23:28:10,082[line:16] - INFO: Evaluationg, 112
2020-06-03 23:28:10,347[line:16] - INFO: Evaluationg, 128
2020-06-03 23:28:35,265[line:16] - INFO: Evaluationg, 144
2020-06-03 23:28:35,543[line:16] - INFO: Evaluationg, 160
2020-06-03 23:28:35,635[line:16] - INFO: Evaluationg, 165
2020-06-03 23:28:35,757[line:3] - INFO: 150: (eval) acc:53.939393939393945%, loss:0.09502053513671413
2020-06-03 23:28:41,806[line:3] - INFO: 155: (train) acc:56.25%, loss:1.1566861867904663
2020-06-03 23:28:47,846[line:3] - INFO: 160: (train) acc:68.75%, loss:1.0790045261383057
2020-06-03 23:28:53,900[line:3] - INFO: 165: (train) acc:50.0%, loss:1.2503156661987305
2020-06-03 23:30:09,255[line:3] - INFO: 170: (train) acc:56.25%, loss:1.1061915159225464
2020-06-03 23:30:15,323[line:3] - INFO: 175: (train) acc:50.0%, loss:1.210803747177124
