2020-06-04 18:41:30,659[line:2] - INFO: --------------------------------------------------------------
2020-06-04 18:41:30,661[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 12, experimentTimes: 0
2020-06-04 18:41:30,668[line:15] - INFO: DataLoader have been created!
2020-06-04 18:41:34,023[line:18] - INFO: Network have been established.
2020-06-04 18:41:34,029[line:24] - INFO: Train begining.
2020-06-04 18:52:43,110[line:17] - INFO: Evaluationg, 108
2020-06-04 18:52:43,698[line:17] - INFO: Evaluationg, 120
2020-06-04 18:52:43,870[line:17] - INFO: Evaluationg, 132
2020-06-04 18:52:44,049[line:17] - INFO: Evaluationg, 144
2020-06-04 18:52:44,991[line:17] - INFO: Evaluationg, 156
2020-06-04 18:52:45,124[line:17] - INFO: Evaluationg, 165
2020-06-04 18:52:45,275[line:3] - INFO: 150: (eval) acc:46.666666666666664%, loss:0.11283204627759529
2020-06-04 18:52:52,754[line:3] - INFO: 155: (train) acc:58.333333333333336%, loss:1.400734305381775
2020-06-04 18:53:00,005[line:3] - INFO: 160: (train) acc:25.0%, loss:1.4011677503585815
2020-06-04 18:53:07,287[line:3] - INFO: 165: (train) acc:50.0%, loss:1.227389931678772
2020-06-04 18:53:14,570[line:3] - INFO: 170: (train) acc:58.333333333333336%, loss:1.8267663717269897
2020-06-04 18:53:21,807[line:3] - INFO: 175: (train) acc:50.0%, loss:1.0623303651809692
2020-06-04 18:53:29,050[line:3] - INFO: 180: (train) acc:66.66666666666666%, loss:0.9359360337257385
2020-06-04 18:53:36,379[line:3] - INFO: 185: (train) acc:58.333333333333336%, loss:1.42381751537323
2020-06-04 18:53:43,673[line:3] - INFO: 190: (train) acc:75.0%, loss:0.8402816653251648
2020-06-04 18:53:50,958[line:3] - INFO: 195: (train) acc:58.333333333333336%, loss:1.0359776020050049
2020-06-04 18:53:58,275[line:3] - INFO: 200: (train) acc:66.66666666666666%, loss:1.0170235633850098
2020-06-04 18:53:58,288[line:45] - INFO: Evaluating!
2020-06-04 18:54:39,171[line:17] - INFO: Evaluationg, 12
2020-06-04 18:54:39,352[line:17] - INFO: Evaluationg, 24
2020-06-04 18:54:39,532[line:17] - INFO: Evaluationg, 36
2020-06-04 18:54:39,705[line:17] - INFO: Evaluationg, 48
2020-06-04 18:54:40,911[line:17] - INFO: Evaluationg, 60
2020-06-04 18:54:41,095[line:17] - INFO: Evaluationg, 72
2020-06-04 18:54:41,274[line:17] - INFO: Evaluationg, 84
2020-06-04 18:54:41,448[line:17] - INFO: Evaluationg, 96
2020-06-04 18:55:07,628[line:17] - INFO: Evaluationg, 108
2020-06-04 18:55:07,794[line:17] - INFO: Evaluationg, 120
2020-06-04 18:55:10,979[line:17] - INFO: Evaluationg, 132
2020-06-04 18:55:11,160[line:17] - INFO: Evaluationg, 144
2020-06-04 18:55:12,428[line:17] - INFO: Evaluationg, 156
2020-06-04 18:55:12,557[line:17] - INFO: Evaluationg, 165
2020-06-04 18:55:12,663[line:3] - INFO: 200: (eval) acc:64.24242424242425%, loss:0.09507341782251993
2020-06-04 18:55:20,104[line:3] - INFO: 205: (train) acc:66.66666666666666%, loss:1.2730343341827393
2020-06-04 18:55:27,345[line:3] - INFO: 210: (train) acc:58.333333333333336%, loss:1.0309711694717407
2020-06-04 18:55:34,577[line:3] - INFO: 215: (train) acc:50.0%, loss:1.1851744651794434
2020-06-04 18:55:41,808[line:3] - INFO: 220: (train) acc:58.333333333333336%, loss:1.6824756860733032
2020-06-04 18:57:15,896[line:3] - INFO: 225: (train) acc:75.0%, loss:0.8143348097801208
2020-06-04 18:57:23,596[line:3] - INFO: 230: (train) acc:25.0%, loss:1.6144914627075195
2020-06-04 18:57:31,101[line:3] - INFO: 235: (train) acc:75.0%, loss:0.8185526728630066
2020-06-04 18:57:38,733[line:3] - INFO: 240: (train) acc:58.333333333333336%, loss:1.3484420776367188
2020-06-04 18:57:46,557[line:3] - INFO: 245: (train) acc:83.33333333333334%, loss:0.7070818543434143
2020-06-04 18:57:54,257[line:3] - INFO: 250: (train) acc:58.333333333333336%, loss:1.0125980377197266
2020-06-04 18:57:54,277[line:45] - INFO: Evaluating!
2020-06-04 19:00:25,540[line:17] - INFO: Evaluationg, 12
2020-06-04 19:00:25,848[line:17] - INFO: Evaluationg, 24
2020-06-04 19:00:26,084[line:17] - INFO: Evaluationg, 36
2020-06-04 19:00:26,348[line:17] - INFO: Evaluationg, 48
2020-06-04 19:00:26,649[line:17] - INFO: Evaluationg, 60
2020-06-04 19:00:26,972[line:17] - INFO: Evaluationg, 72
2020-06-04 19:00:27,252[line:17] - INFO: Evaluationg, 84
2020-06-04 19:00:27,556[line:17] - INFO: Evaluationg, 96
2020-06-04 19:01:37,630[line:17] - INFO: Evaluationg, 108
2020-06-04 19:01:37,807[line:17] - INFO: Evaluationg, 120
2020-06-04 19:01:37,966[line:17] - INFO: Evaluationg, 132
2020-06-04 19:01:38,153[line:17] - INFO: Evaluationg, 144
2020-06-04 19:01:38,318[line:17] - INFO: Evaluationg, 156
2020-06-04 19:01:38,442[line:17] - INFO: Evaluationg, 165
2020-06-04 19:01:38,546[line:3] - INFO: 250: (eval) acc:44.84848484848485%, loss:0.11578962008158365
2020-06-04 19:01:46,714[line:3] - INFO: 255: (train) acc:75.0%, loss:0.9307342171669006
2020-06-04 19:01:53,899[line:3] - INFO: 260: (train) acc:75.0%, loss:0.888183057308197
2020-06-04 19:02:01,190[line:3] - INFO: 265: (train) acc:50.0%, loss:1.4446264505386353
2020-06-04 19:02:08,537[line:3] - INFO: 270: (train) acc:41.66666666666667%, loss:1.5658745765686035
2020-06-04 19:02:15,892[line:3] - INFO: 275: (train) acc:91.66666666666666%, loss:0.7326127886772156
2020-06-04 19:02:23,353[line:3] - INFO: 280: (train) acc:75.0%, loss:1.353871464729309
2020-06-04 19:02:31,072[line:3] - INFO: 285: (train) acc:58.333333333333336%, loss:1.0483535528182983
2020-06-04 19:02:39,678[line:3] - INFO: 290: (train) acc:83.33333333333334%, loss:0.7730948328971863
2020-06-04 19:02:47,843[line:3] - INFO: 295: (train) acc:58.333333333333336%, loss:1.2508660554885864
2020-06-04 19:02:55,512[line:3] - INFO: 300: (train) acc:75.0%, loss:1.0094157457351685
2020-06-04 19:02:55,519[line:45] - INFO: Evaluating!
2020-06-04 19:05:03,555[line:17] - INFO: Evaluationg, 12
2020-06-04 19:05:03,729[line:17] - INFO: Evaluationg, 24
2020-06-04 19:05:03,907[line:17] - INFO: Evaluationg, 36
2020-06-04 19:05:04,075[line:17] - INFO: Evaluationg, 48
2020-06-04 19:05:04,237[line:17] - INFO: Evaluationg, 60
2020-06-04 19:05:04,396[line:17] - INFO: Evaluationg, 72
2020-06-04 19:05:04,588[line:17] - INFO: Evaluationg, 84
2020-06-04 19:05:04,762[line:17] - INFO: Evaluationg, 96
2020-06-04 19:05:27,778[line:17] - INFO: Evaluationg, 108
2020-06-04 19:05:27,954[line:17] - INFO: Evaluationg, 120
2020-06-04 19:05:28,120[line:17] - INFO: Evaluationg, 132
2020-06-04 19:05:28,272[line:17] - INFO: Evaluationg, 144
2020-06-04 19:05:28,437[line:17] - INFO: Evaluationg, 156
2020-06-04 19:05:28,566[line:17] - INFO: Evaluationg, 165
2020-06-04 19:05:28,653[line:3] - INFO: 300: (eval) acc:70.3030303030303%, loss:0.07768477002779643
2020-06-04 19:05:36,093[line:3] - INFO: 305: (train) acc:58.333333333333336%, loss:1.3477745056152344
2020-06-04 19:05:43,347[line:3] - INFO: 310: (train) acc:66.66666666666666%, loss:0.8835899829864502
2020-06-04 19:05:50,649[line:3] - INFO: 315: (train) acc:91.66666666666666%, loss:0.8103141188621521
2020-06-04 19:05:58,057[line:3] - INFO: 320: (train) acc:58.333333333333336%, loss:1.2049306631088257
2020-06-04 19:06:05,642[line:3] - INFO: 325: (train) acc:50.0%, loss:0.9122271537780762
2020-06-04 19:06:13,177[line:3] - INFO: 330: (train) acc:75.0%, loss:0.6813209652900696
2020-06-04 19:06:20,819[line:3] - INFO: 335: (train) acc:83.33333333333334%, loss:0.6466715335845947
2020-06-04 19:06:28,583[line:3] - INFO: 340: (train) acc:58.333333333333336%, loss:0.938453197479248
2020-06-04 19:06:36,464[line:3] - INFO: 345: (train) acc:100.0%, loss:0.3948904573917389
2020-06-04 19:06:44,404[line:3] - INFO: 350: (train) acc:83.33333333333334%, loss:0.6428936123847961
2020-06-04 19:06:44,413[line:45] - INFO: Evaluating!
2020-06-04 19:08:42,290[line:17] - INFO: Evaluationg, 12
2020-06-04 19:08:43,929[line:17] - INFO: Evaluationg, 24
2020-06-04 19:08:44,101[line:17] - INFO: Evaluationg, 36
2020-06-04 19:08:44,271[line:17] - INFO: Evaluationg, 48
2020-06-04 19:08:44,447[line:17] - INFO: Evaluationg, 60
2020-06-04 19:08:44,625[line:17] - INFO: Evaluationg, 72
2020-06-04 19:08:44,794[line:17] - INFO: Evaluationg, 84
2020-06-04 19:08:44,962[line:17] - INFO: Evaluationg, 96
2020-06-04 19:09:15,164[line:17] - INFO: Evaluationg, 108
2020-06-04 19:09:15,344[line:17] - INFO: Evaluationg, 120
2020-06-04 19:09:15,512[line:17] - INFO: Evaluationg, 132
2020-06-04 19:09:15,676[line:17] - INFO: Evaluationg, 144
2020-06-04 19:09:15,831[line:17] - INFO: Evaluationg, 156
2020-06-04 19:09:15,949[line:17] - INFO: Evaluationg, 165
2020-06-04 19:09:16,098[line:3] - INFO: 350: (eval) acc:74.54545454545455%, loss:0.06942536289041693
2020-06-04 19:09:23,485[line:3] - INFO: 355: (train) acc:75.0%, loss:0.8339844346046448
2020-06-04 19:09:30,817[line:3] - INFO: 360: (train) acc:66.66666666666666%, loss:0.9514378905296326
2020-06-04 19:09:38,252[line:3] - INFO: 365: (train) acc:33.33333333333333%, loss:1.9988459348678589
2020-06-04 19:09:45,732[line:3] - INFO: 370: (train) acc:58.333333333333336%, loss:1.1217483282089233
2020-06-04 19:09:53,318[line:3] - INFO: 375: (train) acc:58.333333333333336%, loss:1.2397698163986206
2020-06-04 19:10:01,005[line:3] - INFO: 380: (train) acc:66.66666666666666%, loss:1.185103416442871
2020-06-04 19:10:08,929[line:3] - INFO: 385: (train) acc:66.66666666666666%, loss:0.9125809669494629
2020-06-04 19:10:16,925[line:3] - INFO: 390: (train) acc:75.0%, loss:0.7487735152244568
2020-06-04 19:10:24,925[line:3] - INFO: 395: (train) acc:66.66666666666666%, loss:0.9593192934989929
2020-06-04 19:10:32,945[line:3] - INFO: 400: (train) acc:91.66666666666666%, loss:0.5809553265571594
2020-06-04 19:10:32,964[line:45] - INFO: Evaluating!
2020-06-04 19:11:41,124[line:17] - INFO: Evaluationg, 12
2020-06-04 19:11:41,314[line:17] - INFO: Evaluationg, 24
2020-06-04 19:11:41,508[line:17] - INFO: Evaluationg, 36
2020-06-04 19:11:41,689[line:17] - INFO: Evaluationg, 48
2020-06-04 19:11:41,893[line:17] - INFO: Evaluationg, 60
2020-06-04 19:11:42,072[line:17] - INFO: Evaluationg, 72
2020-06-04 19:11:42,247[line:17] - INFO: Evaluationg, 84
2020-06-04 19:11:42,417[line:17] - INFO: Evaluationg, 96
2020-06-04 19:12:13,833[line:17] - INFO: Evaluationg, 108
2020-06-04 19:12:14,012[line:17] - INFO: Evaluationg, 120
2020-06-04 19:12:14,177[line:17] - INFO: Evaluationg, 132
2020-06-04 19:12:14,344[line:17] - INFO: Evaluationg, 144
2020-06-04 19:12:14,509[line:17] - INFO: Evaluationg, 156
2020-06-04 19:12:14,633[line:17] - INFO: Evaluationg, 165
2020-06-04 19:12:14,733[line:3] - INFO: 400: (eval) acc:75.15151515151514%, loss:0.06867813865343729
2020-06-04 19:12:22,042[line:3] - INFO: 405: (train) acc:66.66666666666666%, loss:0.8163166642189026
2020-06-04 19:12:29,276[line:3] - INFO: 410: (train) acc:58.333333333333336%, loss:1.0552982091903687
2020-06-04 19:12:36,496[line:3] - INFO: 415: (train) acc:75.0%, loss:0.94532710313797
2020-06-04 19:12:43,718[line:3] - INFO: 420: (train) acc:66.66666666666666%, loss:0.9024643301963806
2020-06-04 19:12:50,950[line:3] - INFO: 425: (train) acc:50.0%, loss:1.4943718910217285
2020-06-04 19:12:58,201[line:3] - INFO: 430: (train) acc:66.66666666666666%, loss:0.8034167289733887
2020-06-04 19:13:05,444[line:3] - INFO: 435: (train) acc:66.66666666666666%, loss:0.8294361233711243
2020-06-04 19:13:12,688[line:3] - INFO: 440: (train) acc:66.66666666666666%, loss:0.6993328928947449
2020-06-04 19:15:04,836[line:3] - INFO: 445: (train) acc:75.0%, loss:0.7484070658683777
2020-06-04 19:15:12,390[line:3] - INFO: 450: (train) acc:91.66666666666666%, loss:0.5440931916236877
2020-06-04 19:15:12,418[line:45] - INFO: Evaluating!
2020-06-04 19:16:52,988[line:17] - INFO: Evaluationg, 12
2020-06-04 19:16:56,727[line:17] - INFO: Evaluationg, 24
2020-06-04 19:16:56,948[line:17] - INFO: Evaluationg, 36
2020-06-04 19:16:57,118[line:17] - INFO: Evaluationg, 48
2020-06-04 19:16:57,630[line:17] - INFO: Evaluationg, 60
2020-06-04 19:16:57,799[line:17] - INFO: Evaluationg, 72
2020-06-04 19:16:57,958[line:17] - INFO: Evaluationg, 84
2020-06-04 19:17:05,089[line:17] - INFO: Evaluationg, 96
2020-06-04 19:17:40,352[line:17] - INFO: Evaluationg, 108
2020-06-04 19:17:42,137[line:17] - INFO: Evaluationg, 120
2020-06-04 19:17:42,295[line:17] - INFO: Evaluationg, 132
2020-06-04 19:17:42,453[line:17] - INFO: Evaluationg, 144
2020-06-04 19:17:42,613[line:17] - INFO: Evaluationg, 156
2020-06-04 19:17:42,732[line:17] - INFO: Evaluationg, 165
2020-06-04 19:17:42,844[line:3] - INFO: 450: (eval) acc:72.72727272727273%, loss:0.07046522118828513
2020-06-04 19:17:50,052[line:3] - INFO: 455: (train) acc:66.66666666666666%, loss:0.6596670746803284
2020-06-04 19:17:57,355[line:3] - INFO: 460: (train) acc:83.33333333333334%, loss:0.5311499238014221
2020-06-04 19:18:04,635[line:3] - INFO: 465: (train) acc:66.66666666666666%, loss:0.7511999011039734
2020-06-04 19:18:12,022[line:3] - INFO: 470: (train) acc:83.33333333333334%, loss:0.7126291394233704
2020-06-04 19:18:20,102[line:3] - INFO: 475: (train) acc:91.66666666666666%, loss:0.4598533809185028
2020-06-04 19:18:27,643[line:3] - INFO: 480: (train) acc:83.33333333333334%, loss:0.8373525142669678
2020-06-04 19:18:35,303[line:3] - INFO: 485: (train) acc:83.33333333333334%, loss:0.46668311953544617
2020-06-04 19:18:43,021[line:3] - INFO: 490: (train) acc:66.66666666666666%, loss:0.9024718403816223
2020-06-04 19:18:50,789[line:3] - INFO: 495: (train) acc:83.33333333333334%, loss:0.7421347498893738
2020-06-04 19:18:58,491[line:3] - INFO: 500: (train) acc:83.33333333333334%, loss:0.7697380185127258
2020-06-04 19:18:58,510[line:45] - INFO: Evaluating!
2020-06-04 19:20:53,346[line:17] - INFO: Evaluationg, 12
2020-06-04 19:20:53,532[line:17] - INFO: Evaluationg, 24
2020-06-04 19:20:53,719[line:17] - INFO: Evaluationg, 36
2020-06-04 19:20:53,887[line:17] - INFO: Evaluationg, 48
2020-06-04 19:20:54,046[line:17] - INFO: Evaluationg, 60
2020-06-04 19:20:54,212[line:17] - INFO: Evaluationg, 72
2020-06-04 19:20:54,403[line:17] - INFO: Evaluationg, 84
2020-06-04 19:20:54,566[line:17] - INFO: Evaluationg, 96
2020-06-04 19:21:22,143[line:17] - INFO: Evaluationg, 108
2020-06-04 19:21:22,340[line:17] - INFO: Evaluationg, 120
2020-06-04 19:21:22,519[line:17] - INFO: Evaluationg, 132
2020-06-04 19:21:22,686[line:17] - INFO: Evaluationg, 144
2020-06-04 19:21:22,844[line:17] - INFO: Evaluationg, 156
