2020-06-04 18:51:46,303[line:2] - INFO: --------------------------------------------------------------
2020-06-04 18:51:46,306[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 16, experimentTimes: 0
2020-06-04 18:51:46,312[line:15] - INFO: DataLoader have been created!
2020-06-04 18:51:51,695[line:18] - INFO: Network have been established.
2020-06-04 18:51:51,702[line:24] - INFO: Train begining.
2020-06-04 19:06:30,535[line:3] - INFO: 165: (train) acc:62.5%, loss:1.0068963766098022
2020-06-04 19:07:53,013[line:3] - INFO: 170: (train) acc:62.5%, loss:1.085993766784668
2020-06-04 19:07:57,002[line:3] - INFO: 175: (train) acc:75.0%, loss:0.8872514963150024
2020-06-04 19:08:00,877[line:3] - INFO: 180: (train) acc:81.25%, loss:0.6107227802276611
2020-06-04 19:08:57,712[line:3] - INFO: 185: (train) acc:56.25%, loss:1.1839704513549805
2020-06-04 19:09:04,478[line:3] - INFO: 190: (train) acc:56.25%, loss:0.791014552116394
2020-06-04 19:09:08,237[line:3] - INFO: 195: (train) acc:87.5%, loss:0.39660510420799255
2020-06-04 19:09:59,295[line:3] - INFO: 200: (train) acc:81.25%, loss:0.5945783853530884
2020-06-04 19:09:59,298[line:45] - INFO: Evaluating!
2020-06-04 19:11:39,328[line:16] - INFO: Evaluationg, 16
2020-06-04 19:11:40,059[line:16] - INFO: Evaluationg, 32
2020-06-04 19:11:41,489[line:16] - INFO: Evaluationg, 48
2020-06-04 19:11:41,671[line:16] - INFO: Evaluationg, 64
2020-06-04 19:11:41,872[line:16] - INFO: Evaluationg, 80
2020-06-04 19:11:46,845[line:16] - INFO: Evaluationg, 96
2020-06-04 19:11:47,031[line:16] - INFO: Evaluationg, 112
2020-06-04 19:11:47,203[line:16] - INFO: Evaluationg, 128
2020-06-04 19:12:13,367[line:16] - INFO: Evaluationg, 144
2020-06-04 19:12:13,525[line:16] - INFO: Evaluationg, 160
2020-06-04 19:12:13,580[line:16] - INFO: Evaluationg, 165
2020-06-04 19:12:13,688[line:3] - INFO: 200: (eval) acc:79.39393939393939%, loss:0.0431479502807964
2020-06-04 19:12:17,796[line:3] - INFO: 205: (train) acc:81.25%, loss:0.37557774782180786
2020-06-04 19:12:21,510[line:3] - INFO: 210: (train) acc:75.0%, loss:0.8641366958618164
2020-06-04 19:12:25,508[line:3] - INFO: 215: (train) acc:81.25%, loss:1.2025846242904663
2020-06-04 19:12:29,271[line:3] - INFO: 220: (train) acc:93.75%, loss:0.340091347694397
2020-06-04 19:12:33,078[line:3] - INFO: 225: (train) acc:81.25%, loss:0.6307807564735413
2020-06-04 19:12:36,837[line:3] - INFO: 230: (train) acc:56.25%, loss:1.110802173614502
2020-06-04 19:12:48,918[line:3] - INFO: 235: (train) acc:75.0%, loss:0.7258697748184204
2020-06-04 19:12:52,672[line:3] - INFO: 240: (train) acc:68.75%, loss:0.8819655179977417
2020-06-04 19:12:56,409[line:3] - INFO: 245: (train) acc:93.75%, loss:0.33350425958633423
2020-06-04 19:13:19,154[line:3] - INFO: 250: (train) acc:93.75%, loss:0.378531277179718
2020-06-04 19:13:19,167[line:45] - INFO: Evaluating!
2020-06-04 19:14:52,125[line:16] - INFO: Evaluationg, 16
2020-06-04 19:14:52,340[line:16] - INFO: Evaluationg, 32
2020-06-04 19:14:55,360[line:16] - INFO: Evaluationg, 48
2020-06-04 19:14:55,645[line:16] - INFO: Evaluationg, 64
2020-06-04 19:14:55,837[line:16] - INFO: Evaluationg, 80
2020-06-04 19:14:56,055[line:16] - INFO: Evaluationg, 96
2020-06-04 19:14:56,229[line:16] - INFO: Evaluationg, 112
2020-06-04 19:14:57,999[line:16] - INFO: Evaluationg, 128
2020-06-04 19:15:26,861[line:16] - INFO: Evaluationg, 144
2020-06-04 19:15:27,038[line:16] - INFO: Evaluationg, 160
2020-06-04 19:15:27,099[line:16] - INFO: Evaluationg, 165
2020-06-04 19:15:27,265[line:3] - INFO: 250: (eval) acc:78.78787878787878%, loss:0.03918715173547918
2020-06-04 19:15:31,828[line:3] - INFO: 255: (train) acc:93.75%, loss:0.46412283182144165
