2020-06-04 11:42:16,703[line:2] - INFO: --------------------------------------------------------------
2020-06-04 11:42:16,704[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 16, experimentTimes: 7
2020-06-04 11:42:16,710[line:15] - INFO: DataLoader have been created!
2020-06-04 11:42:20,583[line:18] - INFO: Network have been established.
2020-06-04 11:42:20,590[line:24] - INFO: Train begining.
2020-06-04 11:42:57,598[line:3] - INFO: 5: (train) acc:31.25%, loss:2.075827121734619
2020-06-04 11:43:03,556[line:3] - INFO: 10: (train) acc:18.75%, loss:1.8344248533248901
2020-06-04 11:43:09,504[line:3] - INFO: 15: (train) acc:18.75%, loss:1.8042871952056885
2020-06-04 11:43:24,015[line:3] - INFO: 20: (train) acc:37.5%, loss:1.7830168008804321
2020-06-04 11:43:30,564[line:3] - INFO: 25: (train) acc:43.75%, loss:1.5003374814987183
2020-06-04 11:43:37,008[line:3] - INFO: 30: (train) acc:18.75%, loss:1.6898295879364014
2020-06-04 11:43:50,901[line:3] - INFO: 35: (train) acc:50.0%, loss:2.0502943992614746
2020-06-04 11:43:56,983[line:3] - INFO: 40: (train) acc:18.75%, loss:2.149960517883301
2020-06-04 11:44:03,100[line:3] - INFO: 45: (train) acc:50.0%, loss:1.7141742706298828
2020-06-04 11:44:45,400[line:3] - INFO: 50: (train) acc:43.75%, loss:1.7824500799179077
2020-06-04 11:44:45,404[line:45] - INFO: Evaluating!
2020-06-04 11:46:05,945[line:16] - INFO: Evaluationg, 16
2020-06-04 11:46:06,248[line:16] - INFO: Evaluationg, 32
2020-06-04 11:46:06,527[line:16] - INFO: Evaluationg, 48
2020-06-04 11:46:06,804[line:16] - INFO: Evaluationg, 64
2020-06-04 11:46:07,085[line:16] - INFO: Evaluationg, 80
2020-06-04 11:46:07,370[line:16] - INFO: Evaluationg, 96
2020-06-04 11:46:07,653[line:16] - INFO: Evaluationg, 112
2020-06-04 11:46:07,918[line:16] - INFO: Evaluationg, 128
2020-06-04 11:46:55,194[line:16] - INFO: Evaluationg, 144
2020-06-04 11:46:55,475[line:16] - INFO: Evaluationg, 160
2020-06-04 11:46:55,575[line:16] - INFO: Evaluationg, 165
2020-06-04 11:46:55,690[line:3] - INFO: 50: (eval) acc:49.09090909090909%, loss:0.08740770997423114
2020-06-04 11:47:01,995[line:3] - INFO: 55: (train) acc:25.0%, loss:1.4240012168884277
2020-06-04 11:47:08,051[line:3] - INFO: 60: (train) acc:50.0%, loss:1.41554594039917
2020-06-04 11:47:14,105[line:3] - INFO: 65: (train) acc:37.5%, loss:1.489542007446289
2020-06-04 11:47:20,677[line:3] - INFO: 70: (train) acc:62.5%, loss:1.0178471803665161
2020-06-04 11:47:26,862[line:3] - INFO: 75: (train) acc:56.25%, loss:1.273438811302185
2020-06-04 11:47:32,947[line:3] - INFO: 80: (train) acc:56.25%, loss:1.1501744985580444
2020-06-04 11:47:53,824[line:3] - INFO: 85: (train) acc:25.0%, loss:1.8398743867874146
2020-06-04 11:48:00,298[line:3] - INFO: 90: (train) acc:43.75%, loss:1.6392933130264282
2020-06-04 11:48:06,532[line:3] - INFO: 95: (train) acc:62.5%, loss:1.1923280954360962
2020-06-04 11:48:38,922[line:3] - INFO: 100: (train) acc:62.5%, loss:1.0958296060562134
2020-06-04 11:48:38,927[line:45] - INFO: Evaluating!
2020-06-04 11:49:50,255[line:16] - INFO: Evaluationg, 16
2020-06-04 11:49:58,075[line:16] - INFO: Evaluationg, 32
2020-06-04 11:49:58,446[line:16] - INFO: Evaluationg, 48
2020-06-04 11:49:59,571[line:16] - INFO: Evaluationg, 64
2020-06-04 11:49:59,856[line:16] - INFO: Evaluationg, 80
2020-06-04 11:50:00,136[line:16] - INFO: Evaluationg, 96
2020-06-04 11:50:00,424[line:16] - INFO: Evaluationg, 112
2020-06-04 11:50:00,721[line:16] - INFO: Evaluationg, 128
2020-06-04 11:50:27,006[line:16] - INFO: Evaluationg, 144
2020-06-04 11:50:32,046[line:16] - INFO: Evaluationg, 160
2020-06-04 11:50:32,132[line:16] - INFO: Evaluationg, 165
2020-06-04 11:50:32,228[line:3] - INFO: 100: (eval) acc:50.90909090909091%, loss:0.08584855975526752
2020-06-04 11:50:38,427[line:3] - INFO: 105: (train) acc:56.25%, loss:1.2803770303726196
2020-06-04 11:50:44,406[line:3] - INFO: 110: (train) acc:43.75%, loss:1.14235520362854
2020-06-04 11:50:50,407[line:3] - INFO: 115: (train) acc:56.25%, loss:1.0047557353973389
2020-06-04 11:50:56,456[line:3] - INFO: 120: (train) acc:56.25%, loss:1.104013442993164
2020-06-04 11:51:02,557[line:3] - INFO: 125: (train) acc:75.0%, loss:0.9500425457954407
2020-06-04 11:51:08,888[line:3] - INFO: 130: (train) acc:62.5%, loss:0.9585200548171997
2020-06-04 11:51:16,126[line:3] - INFO: 135: (train) acc:68.75%, loss:0.7898457050323486
2020-06-04 11:51:29,441[line:3] - INFO: 140: (train) acc:56.25%, loss:1.160484790802002
2020-06-04 11:51:40,050[line:3] - INFO: 145: (train) acc:68.75%, loss:1.312968373298645
2020-06-04 11:52:10,542[line:3] - INFO: 150: (train) acc:50.0%, loss:0.9965343475341797
2020-06-04 11:52:10,545[line:45] - INFO: Evaluating!
2020-06-04 11:53:03,101[line:16] - INFO: Evaluationg, 16
2020-06-04 11:53:03,380[line:16] - INFO: Evaluationg, 32
2020-06-04 11:53:03,652[line:16] - INFO: Evaluationg, 48
2020-06-04 11:53:03,919[line:16] - INFO: Evaluationg, 64
2020-06-04 11:53:04,186[line:16] - INFO: Evaluationg, 80
2020-06-04 11:53:04,450[line:16] - INFO: Evaluationg, 96
2020-06-04 11:53:04,723[line:16] - INFO: Evaluationg, 112
2020-06-04 11:53:04,995[line:16] - INFO: Evaluationg, 128
2020-06-04 11:53:28,973[line:16] - INFO: Evaluationg, 144
2020-06-04 11:53:29,228[line:16] - INFO: Evaluationg, 160
2020-06-04 11:53:29,321[line:16] - INFO: Evaluationg, 165
2020-06-04 11:53:29,403[line:3] - INFO: 150: (eval) acc:63.030303030303024%, loss:0.07032339103294141
2020-06-04 11:53:35,702[line:3] - INFO: 155: (train) acc:31.25%, loss:1.1582715511322021
2020-06-04 11:53:41,758[line:3] - INFO: 160: (train) acc:31.25%, loss:1.5498569011688232
2020-06-04 11:53:47,813[line:3] - INFO: 165: (train) acc:68.75%, loss:0.8816152215003967
2020-06-04 11:54:30,546[line:3] - INFO: 170: (train) acc:62.5%, loss:1.2114874124526978
2020-06-04 11:54:36,615[line:3] - INFO: 175: (train) acc:43.75%, loss:1.8448009490966797
2020-06-04 11:54:42,739[line:3] - INFO: 180: (train) acc:68.75%, loss:1.002143383026123
2020-06-04 11:55:15,109[line:3] - INFO: 185: (train) acc:62.5%, loss:1.1514630317687988
2020-06-04 11:55:21,168[line:3] - INFO: 190: (train) acc:68.75%, loss:0.8375276923179626
2020-06-04 11:55:27,242[line:3] - INFO: 195: (train) acc:43.75%, loss:1.0476760864257812
