2020-06-04 11:43:48,409[line:2] - INFO: --------------------------------------------------------------
2020-06-04 11:43:48,410[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 12, experimentTimes: 0
2020-06-04 11:43:48,414[line:15] - INFO: DataLoader have been created!
2020-06-04 11:43:51,888[line:18] - INFO: Network have been established.
2020-06-04 11:43:51,892[line:24] - INFO: Train begining.
2020-06-04 11:45:16,165[line:3] - INFO: 5: (train) acc:33.33333333333333%, loss:1.8707605600357056
2020-06-04 11:45:23,452[line:3] - INFO: 10: (train) acc:8.333333333333332%, loss:1.9813122749328613
2020-06-04 11:45:30,805[line:3] - INFO: 15: (train) acc:0.0%, loss:1.9415804147720337
2020-06-04 11:45:38,177[line:3] - INFO: 20: (train) acc:25.0%, loss:1.782955288887024
2020-06-04 11:45:45,537[line:3] - INFO: 25: (train) acc:25.0%, loss:1.767232894897461
2020-06-04 11:45:52,801[line:3] - INFO: 30: (train) acc:8.333333333333332%, loss:2.030224084854126
2020-06-04 11:46:23,447[line:3] - INFO: 35: (train) acc:33.33333333333333%, loss:1.7087135314941406
2020-06-04 11:46:30,527[line:3] - INFO: 40: (train) acc:25.0%, loss:1.797224998474121
2020-06-04 11:46:37,716[line:3] - INFO: 45: (train) acc:33.33333333333333%, loss:1.8765898942947388
2020-06-04 11:46:44,921[line:3] - INFO: 50: (train) acc:50.0%, loss:1.5854579210281372
2020-06-04 11:46:44,976[line:45] - INFO: Evaluating!
2020-06-04 11:47:37,644[line:17] - INFO: Evaluationg, 12
2020-06-04 11:47:37,836[line:17] - INFO: Evaluationg, 24
2020-06-04 11:47:38,023[line:17] - INFO: Evaluationg, 36
2020-06-04 11:47:38,222[line:17] - INFO: Evaluationg, 48
2020-06-04 11:47:39,021[line:17] - INFO: Evaluationg, 60
2020-06-04 11:47:39,245[line:17] - INFO: Evaluationg, 72
2020-06-04 11:47:39,396[line:17] - INFO: Evaluationg, 84
2020-06-04 11:47:39,546[line:17] - INFO: Evaluationg, 96
2020-06-04 11:48:05,884[line:17] - INFO: Evaluationg, 108
2020-06-04 11:48:06,056[line:17] - INFO: Evaluationg, 120
2020-06-04 11:48:06,210[line:17] - INFO: Evaluationg, 132
2020-06-04 11:48:06,364[line:17] - INFO: Evaluationg, 144
2020-06-04 11:48:06,517[line:17] - INFO: Evaluationg, 156
2020-06-04 11:48:06,642[line:17] - INFO: Evaluationg, 165
